solver,case,difficulty,run,seconds,correct
linear,ramp-1k,1000,1,0.000278000,1
linear,ramp-10k,10000,1,0.002763000,1
linear,ramp-100k,100000,1,0.030750000,1
linear,ramp-1m,1000000,1,0.762992000,1
linear,ramp-5m,5000000,1,4.153403000,1
linear,ramp-10m,10000000,1,10.099636000,1
linear,ramp-25m,25000000,1,20.956442000,1
linear,ramp-50m,50000000,1,19.117404000,1
linear,pos-first,10000000,1,0.000002000,1
linear,pos-quarter,10000000,1,1.291105000,1
linear,pos-middle,10000000,1,2.580974000,1
linear,pos-3quarter,10000000,1,3.895917000,1
linear,pos-last,10000000,1,5.176672000,1
linear,shift-tiny,1000,1,0.000256000,1
linear,shift-100k,100000,1,0.025720000,1
linear,shift-1m,1000000,1,0.259194000,1
linear,shift-big,1000000,1,0.207015000,1
linear,shift-huge,1000000,1,0.000064000,1
linear,worst-100k,100000,1,0.051811000,1
linear,worst-1m,1000000,1,0.516320000,1
linear,worst-10m,10000000,1,5.173962000,1
linear,worst-20m,20000000,1,10.333530000,1
linear,stress-40m,40000000,1,17.190098000,1
linear,stress-60m,60000000,1,23.279936000,1
linear,stress-100m,100000000,1,45.552256000,1
threaded,ramp-1k,1000,1,0.000341000,1
threaded,ramp-10k,10000,1,0.000864000,1
threaded,ramp-100k,100000,1,0.003420000,1
threaded,ramp-1m,1000000,1,0.047128000,1
threaded,ramp-5m,5000000,1,0.007867000,1
threaded,ramp-10m,10000000,1,0.707078000,1
threaded,ramp-25m,25000000,1,1.627461000,1
threaded,ramp-50m,50000000,1,3.039881000,1
threaded,pos-first,10000000,1,0.004229000,1
threaded,pos-quarter,10000000,1,0.004874000,1
threaded,pos-middle,10000000,1,0.014564000,1
threaded,pos-3quarter,10000000,1,0.017820000,1
threaded,pos-last,10000000,1,0.961384000,1
threaded,shift-tiny,1000,1,0.000327000,1
threaded,shift-100k,100000,1,0.007586000,1
threaded,shift-1m,1000000,1,0.014951000,1
threaded,shift-big,1000000,1,0.034044000,1
threaded,shift-huge,1000000,1,0.004993000,1
threaded,worst-100k,100000,1,0.011956000,1
threaded,worst-1m,1000000,1,0.080431000,1
threaded,worst-10m,10000000,1,0.807534000,1
threaded,worst-20m,20000000,1,1.517397000,1
threaded,stress-40m,40000000,1,1.032197000,1
threaded,stress-60m,60000000,1,0.023557000,1
threaded,stress-100m,100000000,1,1.731807000,1
dynamic,ramp-1k,1000,1,0.000311000,1
dynamic,ramp-10k,10000,1,0.000590000,1
dynamic,ramp-100k,100000,1,0.004123000,1
dynamic,ramp-1m,1000000,1,0.029925000,1
dynamic,ramp-5m,5000000,1,0.181633000,1
dynamic,ramp-10m,10000000,1,0.460054000,1
dynamic,ramp-25m,25000000,1,0.838721000,1
dynamic,ramp-50m,50000000,1,2.716152000,1
dynamic,pos-first,10000000,1,0.000364000,1
dynamic,pos-quarter,10000000,1,0.214981000,1
dynamic,pos-middle,10000000,1,0.408596000,1
dynamic,pos-3quarter,10000000,1,0.570745000,1
dynamic,pos-last,10000000,1,0.766794000,1
dynamic,shift-tiny,1000,1,0.000283000,1
dynamic,shift-100k,100000,1,0.004073000,1
dynamic,shift-1m,1000000,1,0.036417000,1
dynamic,shift-big,1000000,1,0.029529000,1
dynamic,shift-huge,1000000,1,0.002548000,1
dynamic,worst-100k,100000,1,0.007599000,1
dynamic,worst-1m,1000000,1,0.077276000,1
dynamic,worst-10m,10000000,1,0.778255000,1
dynamic,worst-20m,20000000,1,1.602032000,1
dynamic,stress-40m,40000000,1,2.917570000,1
dynamic,stress-60m,60000000,1,3.537256000,1
dynamic,stress-100m,100000000,1,7.651093000,1
hybrid,ramp-1k,1000,1,0.000309000,1
hybrid,ramp-10k,10000,1,0.000900000,1
hybrid,ramp-100k,100000,1,0.004577000,1
hybrid,ramp-1m,1000000,1,0.047472000,1
hybrid,ramp-5m,5000000,1,0.013258000,1
hybrid,ramp-10m,10000000,1,0.461270000,1
hybrid,ramp-25m,25000000,1,1.471182000,1
hybrid,ramp-50m,50000000,1,2.261297000,1
hybrid,pos-first,10000000,1,0.000310000,1
hybrid,pos-quarter,10000000,1,0.002791000,1
hybrid,pos-middle,10000000,1,0.011460000,1
hybrid,pos-3quarter,10000000,1,0.023450000,1
hybrid,pos-last,10000000,1,0.787318000,1
hybrid,shift-tiny,1000,1,0.000282000,1
hybrid,shift-100k,100000,1,0.004315000,1
hybrid,shift-1m,1000000,1,0.012493000,1
hybrid,shift-big,1000000,1,0.039410000,1
hybrid,shift-huge,1000000,1,0.003019000,1
hybrid,worst-100k,100000,1,0.009855000,1
hybrid,worst-1m,1000000,1,0.074837000,1
hybrid,worst-10m,10000000,1,0.787203000,1
hybrid,worst-20m,20000000,1,1.535296000,1
hybrid,stress-40m,40000000,1,1.088031000,1
hybrid,stress-60m,60000000,1,0.022584000,1
hybrid,stress-100m,100000000,1,1.727770000,1
